a'ngunc	ອະຫງຸ່ນ
Naa^haa^maa^ni	ນາ^ຫະ^ມາ^ນີ
Naa^hum	ນາ^ຮູມ
Ne^aa^mbu^li	ເນ^ອາ^ບຸ^ລີ
Ne^mbu^saa^laa^ndaan	ເນ^ບູ^ຊາ^ລະ^ດານ
Ne^fi^simx	ເນ^ຟິ^ສິມ
Ne^haa^mi	ເນ^ຫະ^ມີ
Ne^hum	ເນ^ຮູມ
Ne^li^yaa	ເນ^ລິ^ຢາ
Ne^si^yaa	ເນ^ຊິ^ຢາ
Nesipv	ເນ^ຊີ້ບ
Ne^taa^ni^yaa	ເນ^ທາ^ນິ^ຢາ
Ni^kaa^no	ນິ^ຄາ^ໂນ
Ni^ko^mbu^li	ນິ^ໂຄ^ບຸ^ລີ
Ni^ko^lau^ni^yom	ນິ^ໂຄ^ເລົາ^ນິ^ໂຢມ
Ni^naa^we	ນິ^ນະ^ເວ
Nisaanx	ນິ^ສານ
Nitv^lotv	ນິດ^ໂລກ
Nopv	ໂນບ
Notv	ໂນດ
O^ne^si^fo^latv	ໂອ^ເນ^ສີ^ໂຟ^ລັດ
O^ne^si^matv	ໂອ^ເນ^ສີ^ມັດ
Okc	ໂອກ
Baa^laa^di^yaa	ປາ^ລາ^ຕິ^ຢາ
Batc^lu^simx	ປັດ^ລຸ^ສິມ
Be^kaa^hi^yaa	ເປ^ຄາ^ຫິ^ຢາ
Be^laa^li^yaa	ເປ^ລາ^ລິ^ຢາ
Be^lu^ndaa	ເປ^ລຸ^ດາ
Be^taa^hi^yaa	ເປ^ທາ^ຫິ^ຢາ
Be^tu^en	ເປ^ທຸ^ເອນ
Bi^haa^hi^lotv	ປິ^ຫະ^ຫິ^ໂລດ
Bi^laa^ton	ປິ^ລາ^ໂທນ
Bilatv	ປິ^ລັດ
Bi^si^ndie	ປິ^ສິ^ເດຍ
Bi^tom	ປິ^ໂທມ
Bi^ton	ປິ^ໂທນ
Bo^ti^faa	ໂປ^ທິ^ຟາ
Bo^ti^fe^laa	ໂປ^ທິ^ເຟ^ລາ
Bu^tai	ປຸ^ໄທ
Bu^ti^en	ປູ^ທິ^ເອນ
Bupc^li^atc	ປຸບ^ລິ^ອັດ
Putv	ພູດ
Bor^si^atc	ປໍ^ສິ^ອັດ
Born^ti^atc	ປອນ^ທິ^ອັດ
Saa^mbakc^taa^ni	ສະ^ປັກ^ທາ^ນີ
Saa^ndu^si	ສະ^ດູ^ສີs
Aa^haa^laa^im	ຊາ^ຫະ^ລາ^ອິມs
Aa^haa^su^maa	ຊາ^ຫະ^ຊຸ^ມາs
Aa^li^saa	ຊາ^ລິ^ຊາs
Aa^lo^me	ສະ^ໂລ^ເມ
Saa^lu^hen	ຊາ^ລຸ^ເຮນ
Saa^maa^lie	ສະ^ມາ^ເລຍ
Saa^me^naa	ສະ^ເມ^ນາ
Saaben	ສະ^ເປນ
Saa^taa^kitv	ສະ^ທາ^ຄິດ
Saa^te^faa^natv	ສະ^ເທ^ຟາ^ນັດ
Saa^te^fen	ສະ^ເທ^ເຟນ
Saa^do^ikc	ສະ^ໂຕ^ອິກ
Saa^waa^saa	ຊາ^ວະ^ຊາ
Sailin	ໄຊ^ລີນ
Sakc^kaa^li^yaa	ສະ^ຄາ^ລິ^ຢາ
Sam^mu^waa	ຊຳ^ມຸ^ວາ
Sanlum	ຊັນ^ລູມ
Se^aa^li^yaa	ເຊ^ອາ^ລິ^ຢາ
Se^aan^Yaasupv	ເຊ^ອານ^ຢາ^ຊູບ
